a		Nc, Ng, Vit, I, E
ái ngại		Vt, Vim, Vtim
ái nữ		Nc
ái phi		Nc
ái quần		Vit
ái quốc		Vit
ái tình		Na
AEDS		Np
Al		Np
album		Np
albumin		Np
alcaloid		Np
aldehyd		Np
algorithm		Np
almanac		Np
almanach		Np
alô		E
alpha		Np
alphabet		Np
alumin		Np
am		Nc
am hiểu		Vt
am-pe		Np
am-pli		Np
am thanh cảnh vắng		X
am tường		Vt
ảm đạm		Aa
ám		Na, Vt
ám ảnh		Vt
ám chỉ		Vt
ám hại		Vt
ám hiệu		Nc, Na
ám muội		Aa
ám quẻ		Vt
ám sát		Vt
ám tả		Na
ám thị		Vit
amatơ		Aa
amen		E
amian		Np
amiant		Np
amib		Np
amiđan		Np
aminoacid		Np
aminoaxit		Np
amip		Np
ammoniac		Np
amoniac		Np
ampe		Np
ampe kế		Nc
ampere		Np
ampere kế		Nc
ampli		Np
amygdal		Np
an		Aa
an bài		Vit
an bình		Aa
an-bom		Np
an-bu-min		Np
an-ca-lo-ít		Np
an cư lạc nghiệp		Vit
an dưỡng		Vit
an dưỡng đường		Nc
an-đe-hít		Np
an giấc		Vit
an giấc nghìn thu		X
an-go-rít		Np
an hưởng		Vta
an khang		Aa
an lành		Aa
an-ma-nác		Np
an nghỉ		Vit
an nhàn		Aa
an nhiên		Aa
an ninh		Na, Aa
an-pha		Np
an phận		Vit
an phận thủ thường		Vit
an táng		Vt
an tâm		Vit
an thai		Vit
an thần		Vit
an-ti-mon		Np
an-ti-pi-rin		Np
an toạ		Vit
an toàn		Vit, Aa
an toàn khu		Nc
an toàn lao động		Na
an-tra-xít		Np
an trí		Vit
an tức hương		Nc
an ủi		Vt
an vị		Vit
án		Na, Vt
án binh bất động		Vit
án gian		Nc, Ng
án mạng		Nc, Ng
án ngữ		Vt
án phí		Na
án quyết		Na
án sát		Nc, Ng
án thư		Nc, Ng
án treo		Na
án từ		Nc, Ng
anbom		Np
anbum		Np
anbumin		Np
ancaloit		Np
anđehit		Np
ang		Nc, Ng
ang áng		Vt, Aa
ảng		Nc, Ng
áng		Nc, Nt, Vt
áng chừng		Vt
angorit		Np
anh		Nc
anh ách		Aa
anh ánh		Aa
anh chàng		Nc, Ng
anh chị		Nc, Ng
anh chị em		Nc, Ng
anh dũng		Aa
anh đào		Nc, Ng
anh em		Nc, Ng
anh em cọc chèo		Nc, Ng
anh em thúc bá		Nc, Ng
anh hào		Na
anh hoa		Na
anh hùng		Na, Aa
anh hùng ca		Na
anh hùng cá nhân		Aa
anh hùng chủ nghĩa		Aa
anh hùng rơm		Na
anh kiệt		Na
anh linh		Na, Aa
anh minh		Aa
anh nuôi		Nc, Ng
anh quân		Na
anh tài		Na
anh thư		Na
anh trai		Na
anh tuấn		Aa
anh túc		Nc, Ng
anh túc xác		Nc, Ng
anh vũ		Nc, Ng
ảnh		Nc, Ng, Pp
ảnh ảo		Nc, Ng
ảnh âm		Nc, Ng
ảnh ẩn		Nc, Ng
ảnh dương		Nc, Ng
ảnh hưởng		Na, Vta
ảnh thật		Nc, Ng
ánh		Na, Aa
ánh kim		Na
ánh ỏi		Aa
ánh sáng		Na
ánh sáng lạnh		Na
ánh xạ		Na
anmanac		Np
anod		Np
anofen		Np
anophel		Np
anot		Np
anpha		Np
anten		Np
anthracit		Np
antimon		Np
antipirin		Np
antipyrin		Np
antraxit		Np
ao		Nc, Vt
ao chuôm		Nc, Ng
ao tù		Nc
ao ước		Vt, Vim, Vtim
ào		Vit, Jd
ào ào		Aa
ào ạt		Aa
ảo		Aa
ảo ảnh		Nc, Ng
ảo đăng		Nc, Ng
ảo giác		Na
ảo hoá		Vit
ảo mộng		Na
ảo não		Aa
ảo thuật		Nc, Ng
ảo tưởng		Na
ảo tượng		Nc, Ng
ảo vọng		Na
áo		Nc
áo ấm		Nc
áo bào		Nc
áo bay		Nc
áo bìa		Nc
áo bò		Nc
áo bông		Nc
áo cà sa		Nc
áo cánh		Nc
áo cánh tiên		Nc
áo choàng		Nc
áo cối		Nc
áo cưới		Nc
áo dài		Nc
áo đại cán		Nc
áo gai		Nc
áo gấm đi đêm		X
áo giáp		Nc
áo gió		Nc
áo hạt		Nc
áo kén		Nc
áo khách		Nc
áo khoác		Nc
áo lá		Nc
áo lặn		Nc
áo lót		Nc
áo lọt lòng		Nc
áo mưa		Nc
áo não		Aa
áo năm thân		Nc
áo nậu		Nc
áo nhộng		Nc
áo nước		Nc
áo phao		Nc
áo phông		Nc
áo quan		Nc
áo quần		Nc
áo rộng		Nc
áo sô		Nc
áo tắm		Nc
áo tế		Nc
áo thụng		Nc
áo tơi		Nc
áo trấn thủ		Nc
áo tứ thân		Nc
áo xiêm		Ng
áo xống		Ng
áp		Vt
áp bức		Vt
áp chảo		Aa
áp chế		Vt
áp dẫn		Vt
áp dụng		Vt
áp đảo		Vt
áp đặt		Vt
áp điện		Na
áp điệu		Vt
áp giá		Vit
áp giải		Vt
áp huyết		Na
áp kế		Nc
áp lực		Na
áp-phe		Np
áp phích		Nc, Ng
áp suất		Na
áp tải		Vt
áp thấp		Na
áp thấp nhiệt đới		Na
áp-xe		Np
apacthai		Np
apartheid		Np
apatit		Np
apphe		Np
apphich		Np
apxe		Np
arbit hối đoái		Np
armonica		Np
arsenic		Np
artel nông nghiệp		Np
As		Np
asen		Np
asphalt		Np
asphan		Np
aspirin		Np
át		Nc, Ng, Vt
át chủ bài		Nc, Ng
át-mốt-phe		Np
atlas		Np
atlat		Np
atmosphe		Np
atmotphe		Np
atropin		Np
au		Aa
automat		Np
axetilen		Np
axeton		Np
axit		Np
axit amin		Np
axit axetic		Np
axit cacbonic		Np
axit clohiđric		Np
axit nitric		Np
axit sunfuric		Np
áy		Aa
áy náy		Vit
azot		Np
ăccoóc		Np
ăccoócđêông		Np
ăcquy		Np
ăm ắp		An
ẵm		Vt
ẵm ngửa		Vit
ăn		Vt
ăn bám		Vt
ăn bẩn		Vit
ăn bận		Vt
ăn bơ làm biếng		Vit
ăn bớt		Vt
ăn cám		Vit
ăn cánh		Vit
ăn cắp		Vt
ăn cắp ăn nảy		Vit
ăn cháo đái bát		X
ăn chay		Vit
ăn chay nằm đất		Vit
ăn chắc mặc bền		Vit
ăn chặn		Vt
ăn chẹt		Vt
ăn chia		Vt
ăn chịu		Vta
ăn chơi		Vit
ăn chực		Vit
ăn chực nằm chờ		Vit
ăn cướp		Vt
ăn dầm nằm dề		Vit
ăn diện		Vit
ăn dỗ		Vt
ăn dở		Vit
ăn dưng ngồi rồi		Vit
ăn đất		X
ăn đong		Vit
ăn đời ở kiếp		Vit
ăn đợi nằm chờ		Vit
ăn đường		Vit
ăn đứt		Vtc
ăn ghém		Vit
ăn giá		Vit
ăn gian		Vit
ăn gió nằm mưa		Vit
ăn gió nằm sương		Vit
ăn giơ		Vit
ăn gỏi		Vt
ăn gởi nằm nhờ		Vit
ăn gửi nằm nhờ		Vit
ăn hại		Vit
ăn hại đái nát		Vit
ăn hàng		Vit
ăn hiếp		Vt
ăn hiếp ăn đáp		Vt
ăn học		Vit
ăn hỏi		Vit
ăn hối lộ		Vit
ăn hớt		Vit
ăn hương ăn hoa		Vit
ăn khách		Vit
ăn không		Vit
ăn không ngồi rồi		Vit
ăn không nói có		Vit
ăn khớp		Vt, Aa
ăn làm		Vit
ăn liền		Aa
ăn lông ở lỗ		Vit
ăn lời		Vit
ăn mảnh		Vit
ăn mày		Nc, Ng, Vit
ăn mày đòi xôi gấc		X
ăn mặc		Vt
ăn mặn khát nước		X
ăn miếng trả miếng		Vit
ăn mòn		Vt
ăn mòn kim loại		Vit
ăn mừng		Vt
ăn nằm		Vit
ăn năn		Vit
ăn nên làm ra		Vit
ăn ngọn		Vit
ăn người		Vit
ăn nhằm		Vit
ăn nhập		Vit
ăn nhậu		Vit
ăn nhịp		Vit
ăn như mỏ khoét		Vit
ăn no vác nặng		Vit
ăn nói		Vt
ăn ốc nói mò		Vit
ăn ở		Vt
ăn phải đũa		Vta
ăn quịt		Vit
ăn quỵt		Vit
ăn rỗi		Vit
ăn rơ		Vit
ăn rở		Vit
ăn sống nuốt tươi		Vit
ăn sung mặc sướng		Vit
ăn sương		Vit
ăn tạp		Vit
ăn thật làm giả		Vit
ăn theo		Vt
ăn thề		Vit
ăn thua		Vit
ăn tiền		Vit
ăn tiêu		Vit
ăn to nói lớn		Vit
ăn trả bữa		Vit
ăn trắng mặc trơn		Vit
ăn trầu		Vit
ăn trên ngồi trốc		Vit
ăn trộm		Vt
ăn tuyết nằm sương		Vit
ăn tươi nuốt sống		Vit
ăn uống		Vit
ăn vã		Vt
ăn vạ		Vt
ăn vận		Vt
ăn xài		Vit
ăn xin		Vit
ăn xổi		Vit
ăn xổi ở thì		Vit
ăn ý		Vit
ăng ẳng		Vit
ăng-ten		Np
ẳng		Vit
ắng		Aa
ắng cổ		Vit
ắng họng		Vit
ắng lặng		Aa
ăngten		Nc
ắp		An
ắt		Jd
ắt hẳn		Jd
ắt là		Jd
âm		Nc, Ng, Vit, Aa
âm âm		Aa
âm ẩm		Aa
âm ấm		Aa
âm ba		Na
âm bản		Nc, Ng
âm binh		Nc, Ng
âm bội		Na
âm chủ		Nc, Ng
âm cơ bản		Nc, Ng
âm cung		Nc
âm cực		Nc
âm dương		Na
âm dương lịch		Nc
âm đạo		Nc
âm điệu		Nc, Ng
âm đức		Na
âm giai		Na
âm hao		Na
âm học		Na
âm hộ		Nc
âm hồn		Na
âm hưởng		Na
âm ỉ		Aa
âm khí		Na
âm khu		Na
âm lịch		Nc
âm luật		Na
âm lượng		Na
âm mưu		Na, Vt
âm nang		Nc, Ng
âm nhạc		Na
âm phần		Nc, Ng
âm phủ		Na
âm sắc		Na
âm tạp		Na
âm tần		Na, Aa
âm thanh		Na
âm thầm		Aa
âm thoa		Na
âm ti		Na
âm tiết		Nc, Ng
âm tín		Na
âm tính		Aa
âm tố		Nc, Ng
âm trình		Na
âm ty		Nc, Ng
âm u		Aa
âm vang		Na, Vit
âm vị		Na
âm vị học		Na
âm vực		Na
ầm		Aa
ầm ã		Aa
ầm ì		Aa
ầm ĩ		Aa
ầm ừ		Vit
ẩm		Aa
ẩm độ		Na
ẩm kế		Nc, Ng
ẩm sì		Aa
ẩm thấp		Aa
ẩm thực		Vit
ẩm ương		Aa
ẩm ướt		Aa
ẩm xì		Aa
ẩm xìu		Aa
ẫm ờ		Aa
ấm		Nc, Aa
ấm a ấm ớ		Vit, Aa
ấm a ấm ứ		Vit, Aa
ấm a ấm ức		Vitim, Aa
ấm ách		Aa
ấm áp		Aa
ấm chuyên		Nc
ấm cúng		Aa
ấm đầu		Aa
ấm êm		Aa
ấm no		Aa
ấm oái		Aa
ấm oé		Aa
ấm ớ		Vit, Aa
ấm siêu		Nc
ấm sinh		Nc, Ng
ấm tích		Nc
ấm ứ		Vit, Aa
ấm ức		Vitim, Aa
ậm à ậm ạch		Aa
ậm ạch		Aa
ậm oẹ		Aa
ậm ờ		Vit
ậm ừ		Vit
ậm ực		Aa
ân		Na
ân ái		Na, Vit
ân cần		Aa
ân đức		Na
ân giảm		Vt
ân hận		Vitim
ân huệ		Na
ân nghĩa		Na
ân nhân		Nc, Ng
ân oán		Na
ân thưởng		Vt
ân tình		Na, Aa
ân tứ		Na
ân xá		Vt
ẩn		Na, Vit
ẩn chứa		Vt
ẩn cư		Vit
ẩn danh		Vit
ẩn dật		Vit
ẩn dụ		Na
ẩn giấu		Vt
ẩn hiện		Vit
ẩn hoa		Na
ẩn khuất		Vit
ẩn lậu		Vt
ẩn náu		Vit
ẩn nặc		Vt
ẩn nấp		Vit
ẩn ngữ		Na
ẩn nhẫn		Vt
ẩn núp		Vit
ẩn sĩ		Nc, Ng
ẩn số		Na
ẩn tàng		Vt
ẩn tình		Na
ẩn ý		Na
ấn		Nc, Ng, Vt
ấn bản		Nc, Ng
ấn định		Vt
ấn Độ giáo		Na
ấn giáo		Na
ấn hành		Vt
ấn kiếm		Ng
ấn loát		Vit
ấn loát phẩm		Ng
ấn phẩm		Nc, Ng
ấn quyết		Nc, Ng
ấn tín		Nc, Ng
ấn tượng		Na
ấp		Nc, Nu, Vt
ấp a ấp úng		Vit
ấp chiến lược		Nc, Ng
ấp dân sinh		Nc, Ng
ấp iu		Vt
ấp ủ		Vt
ấp úng		Vit
ập		Vit
ất		Na
âu		Na, Vt, Vim, Vtim, Jr
âu ca		Vit
âu đất		Nc
Âu hoá		Vt
âu là		Jr
âu lo		Vt
âu nổi		Nc
âu phục		Nc, Ng
âu sầu		Aa
âu tàu		Nc
âu thuyền		Nc
âu yếm		Vt, Aa
ầu ơ		E
ẩu		Aa
ẩu đả		Vit
ẩu tả		Aa
ấu		Na
ấu học		Na
ấu thơ		Aa
ấu trĩ		Aa
ấu trĩ viên		Nc, Ng
ấu trùng		Nc, Ng
ậu		Na
ẩy		Vt
ấy		Pd, I, E
ba		Nc, Nn
ba ba		Nc, Ng
ba bảy		Na
ba bề bốn bên		Np
ba bị		Na, Aa
ba chân bốn cẳng		Aa
ba chỉ		Nc, Ng
ba chìm bảy nổi		X
ba chìm bảy nổi chín lênh đênh		X
ba cọc ba đồng		Np
ba cùng		Vit
ba-dan		Np
ba-dô-ca		Np
ba-dơ		Np
ba đào		Na
ba đầu sáu tay		X
ba đậu		Na
ba gác		Nc
ba gạc		Nc, Ng
ba gai		Aa
ba giăng		Nc, Ng
ba hoa		Vit, Aa
ba hoa chích choè		Aa
ba hoa thiên địa		Aa
ba hoa xích đế		Aa
ba hồn bảy vía		Np
ba hồn chín vía		Np
ba-ke-lit		Np
ba khía		Nc, Ng
ba không		Na
ba kích		Nc, Ng
ba lá		Nc, Ng
ba láp		Aa
ba-lát		Np
ba lăng nhăng		Aa
ba lê		Na
ba lô		Nc
ba lông		Na
ba lơn		Aa
ba máu sáu cơn		X
ba mặt một lời		X
ba mũi giáp công		X
ba mươi		Nn
ba mươi Tết		Na
ba phải		Aa
ba quân		Ng
ba que		Aa
ba rem		Na
ba-ren		Np
ba ri e		Nc
ba rọi		Nc, Aa
ba sinh		Na
ba soi		Nc, Ng
ba-ta		Nc
ba tê		Nc, Ng
ba tháng		Na
ba-ti-nê		Vit
ba toong		Nc
ba trăng		Na
ba trợn		Aa
ba trợn ba trạo		Aa
ba trui		Vit
ba tui		Vit
ba vạ		Aa
ba xạo		Aa
bà		Nc
bà ba		Nc
bà chúa		Nc
bà con		Ng
bà cô		Ng
bà cốt		Nc, Ng
bà đỡ		Nc, Ng
bà gia		Nc, Ng
bà già		Nc, Ng
bà giằn		Nc, Ng
Bà La Môn giáo		Na
bà mụ		Nc, Ng
bà nguyệt		Nc, Ng
bà nhạc		Nc, Ng
bà phước		Nc, Ng
bà trẻ		Nc, Ng
bà xã		Nc, Ng
bà xơ		Nc, Ng
bả		Nc, Ng, Pp
bả dột		Nc, Ng
bả lả		Aa
bả vai		Nc
bã		Nc, Aa
bã trầu		Nc
bá		Nc, Ng, Vt
bá cáo		Vt
bá chiếm		Vt
bá chủ		Aa
bá đạo		Nc, Ng, Na
bá hộ		Nc, Ng
bá láp		Aa
bá quan		Nc, Ng
bá quyền		Na
bá tánh		Ng
bá tước		Nc, Ng, Na
bá vơ		Aa
bá vương		Nc, Ng, Na
bạ		Nc, Ng, Vt
bạ ăn bạ nói		Vit
bác		Nc, Ng, Vt
bác ái		Aa
bác bỏ		Vt
bác cổ thông kim		Aa
bác học		Nc, Na, Aa
bác mẹ		Ng
bác sĩ		Nc, Ng
bác vật		Nc, Ng
bạc		Nc, Aa
bạc ác		Aa
bạc bẽo		Aa
bạc bromua		Nc
bạc bromur		Nc
bạc đà		Nc
bạc đãi		Vt
bạc đầu		Aa
bạc điền		Nc, Ng
bạc giấy		Nc, Ng
bạc hà		Nc, Ng
bạc lạc		Aa
bạc lót		Nc
bạc má		Aa
bạc màu		Aa
bạc mày		Nc, Ng
bạc mầu		Aa
bạc mệnh		Aa
bạc nhạc		Nc, Ng, Aa
bạc nhược		Aa
bạc phếch		Aa
bạc phơ		Aa
bạc thau		Nc, Ng
bạc tình		Aa
bách		Nc, Vt
bách bổ		Aa
bách bộ		Nc, Vit
bách chiến		Aa
bách chiến bách thắng		Aa
bách diệp		Nc, Ng
bách hoá		Nc, Ng
bách hợp		Nc
bách khoa		Ng
bách khoa toàn thư		Nc, Ng
bách nhật		Nc
bách niên giai lão		Vit
bách phát bách trúng		Vit
bách phân		Vit
bách quan		Nc, Ng
bách tán		Nc
bách thanh		Nc, Ng
bách thắng		Aa
bách tính		Nc, Ng
bạch		Vt, Aa
bạch biến		Na
bạch cập		Nc
bạch cầu		Nc, Ng
bạch chỉ		Nc
bạch cúc		Nc, Ng
bạch cương tàm		Nc, Ng
bạch diện thư sinh		Nc
bạch dương		Nc
bạch đái		Nc
bạch đàn		Nc, Ng
bạch đầu		Nc
bạch đầu quân		Nc, Ng
bạch đậu khấu		Nc
bạch điến		Na
bạch đinh		Nc, Ng
bạch đồng nữ		Nc, Ng
bạch đới		Nc
bạch hạc		Nc
bạch hầu		Na
bạch huyết		Nc, Ng
bạch huyết cầu		Nc, Ng
bạch kim		Nc, Ng
bạch lạp		Nc, Ng
bạch lộ		Np
bạch mao căn		Nc
bạch nhật		Na
bạch phàn		Nc
bạch phiến		Nc
bạch phụ tử		Nc
bạch tạng		Na
bạch thoại		Na
bạch tiền		Nc
bạch trọc		Na
bạch tuộc		Nc, Ng
bạch yến		Nc, Ng
badôca		Nc, Ng
baht		Na
bai		Nc, Vit
bai bải		Aa
bai-tơ		Np
bài		Nc, Ng, Nu, Vt
bài bác		Vt
bài bạc		Nc, Ng
bài bản		Nc, Ng
bài báng		Vt
bài binh bố trận		Vit
bài bông		Nc, Ng
bài chỉ		Nc, Ng
bài chòi		Nc, Ng
bài hải		Aa
bài học		Nc, Ng
bài khoá		Nc, Ng
bài làm		Nc, Ng
bài mục		Nc, Ng
bài ngà		Nc, Ng
bài ngoại		Vit
bài tập		Nc, Ng
bài tây		Nc, Ng
bài tiết		Vit
bài tính		Nc, Ng
bài toán		Nc, Ng
bài trí		Vit
bài trừ		Vt
bài vị		Nc, Ng
bài vở		Nc, Ng
bài xích		Vt
bài xuất		Vt
bải hải		Aa
bải hoải		Aa
bãi		Nc, Ng, Vt
bãi binh		Vit
bãi bỏ		Vt
bãi cá		Nc, Ng
bãi chợ		Vit
bãi chức		Vt
bãi công		Vit
bãi khoá		Vit
bãi miễn		Vt
bãi nhiệm		Vt
bãi tập		Nc, Ng
bãi thải		Nc, Ng
bãi thị		Vit
bãi thực		Vit
bãi triều		Vit
bái		Nc, Ng, Vt
bái biệt		Vt
bái chổi		Nc, Ng
bái lĩnh		Vt
bái phục		Vt, Vim, Vtim
bái tạ		Vt
bái tổ		Vit
bái vật		Nc, Ng
bái vật giáo		Na
bái xái		Aa
bái yết		Vt
bại		Vit, Aa
bại binh		Nc, Ng
bại hoại		Aa
bại liệt		Na, Aa
bại lộ		Vt
bại quân		Nc, Ng
bại trận		Vit
bại tướng		Nc, Ng
bại vong		Vit
bakelit		Np
balat		Np
balboa		Np
balê		Nc, Ng
ballad		Np
ballast		Np
balô		Np
balông		Np
bám		Vt
bám trụ		Vt
bám víu		Vt
ban		Na, Vt
ban ân		Vit
ban bệ		Nc, Ng
ban bí thư		Nc, Ng
ban bố		Vt
ban cấp		Vt
ban chấp hành		Nc, Ng
ban chấp uỷ		Nc, Ng
ban công		Nc, Ng
ban đầu		Na
ban đêm		Na
ban giám hiệu		Nc, Ng
ban-giô		Np
ban hành		Vt
ban khen		Vt
ban mai		Na
ban miêu		Nc, Ng
ban nãy		Na
ban ngày		Na
ban ngày ban mặt		Np
ban ơn		Vit
ban phát		Vt
ban sơ		Na
ban tặng		Vt
bàn		Nc, Ng, Vt
bàn bạc		Vt
bàn cãi		Vit
bàn cát		Nc, Ng
bàn chải		Nc, Ng
bàn chân		Nc, Ng
bàn chông		Nc, Ng
bàn cờ		Nc, Ng
bàn cuốc		Nc, Ng
bàn dân thiên hạ		Nc, Ng
bàn đạc		Nc, Ng
bàn đạp		Nc, Ng
bàn đèn		Nc, Ng
bàn định		Vt
bàn độc		Nc, Ng
bàn giao		Vt
bàn giấy		Nc, Ng
bàn hoàn		Vit
bàn là		Nc, Ng
bàn là hơi		Nc, Ng
bàn luận		Vt
bàn lùi		Vit
bàn mảnh		Vit
bàn máy		Nc, Ng
bàn phím		Nc, Ng
bàn ra		Vit
bàn ra tán vào		Vit
bàn rà		Nc, Ng
bàn ren		Nc, Ng
bàn rùn		Vit
bàn soạn		Vt
bàn tán		Vit
bàn tay		Nc, Ng
bàn tay vàng		Nc, Ng
bàn thạch		Nc, Ng
bàn thờ		Nc, Ng
bàn tính		Nc, Ng
bàn tính		Nc, Ng, Vt
bàn toạ		Nc, Ng
bàn trang		Nc, Ng
bàn trổ		Nc, Ng
bàn ủi		Nc, Ng
bản		Na
bản án		Nc, Ng
bản âm		Nc, Ng
bản bộ		Nc, Ng
bản chất		Na
bản chính		Nc, Ng
bản chức		Na
bản dạng		Nc, Ng
bản doanh		Nc, Ng
bản dương		Nc, Ng
bản địa		Na
bản đồ		Nc, Ng
bản đồ học		Na
bản gốc		Nc, Ng
bản in thử		Nc, Ng
bản kẽm		Nc, Ng
bản làng		Nc, Ng
bản lề		Nc
bản liệt in		Nc, Ng
bản lĩnh		Na
bản mặt		Nc, Ng
bản mẫu		Nc, Ng
bản mệnh		Na
bản mường		Nc, Ng
bản năng		Na
bản ngã		Na
bản ngữ		Na
bản nhạc		Nc, Ng
bản quán		Na
bản quyền		Na
bản sao		Nc, Ng
bản sắc		Na
bản tâm		Na
bản thảo		Nc, Ng
bản thân		Na
bản thể		Na
bản thể luận		Na
bản tính		Na
bản vẽ		Nc, Ng
bản vị		Na, Aa
bản vị chủ nghĩa		Aa
bản vị kép		Na
bản xứ		Na
bán		Vt
bán bình nguyên		Nc, Ng
bán buôn		Vt
bán cầu		Nc, Ng
bán cầu não		Nc, Ng
bán chác		Vit
bán chạy		Vit
bán chịu		Vit
bán công		Aa
bán dẫn		Aa
bán đảo		Nc, Ng
bán đấu giá		Vit
bán đổ bán tháo		Vit
bán đứng		Vt
bán hạ		Nc, Ng
bán hoa		Vit
bán hoá giá		Vit
bán kết		Na
bán khai		Aa
bán kính		Nc
bán lẻ		Vit
bán mạ		Vt
bán mạng		Jd
bán mặt cho đất bán lưng cho trời		Vit
bán mặt cho đất, bán lưng cho trời		Vit
bán nguyên âm		Nc, Ng
bán nguyệt		Na
bán nguyệt san		Nc, Ng
bán non		Vit
bán nước		Vit
bán nước buôn dân		Vit
bán phá giá		Vit
bán rao		Vit
bán sỉ		Vit
bán sống bán chết		Aa
bán sơn địa		Nc, Ng
bán thành phẩm		Nc, Ng
bán tháo		Vit
bán thân		Na
bán thân bất toại		Aa
bán tín bán nghi		Vit
bán tống		Vit
bán tống bán táng		Vit
bán tống bán tháo		Vit
bán tống táng		Vit
bán trả dần		Vit
bán trả góp		Vit
bán trôn nuôi miệng		Vit
bán trời không văn tự		Vit
bán trú		Vit
bán tự động		Aa
bán vợ đợ con		Vit
bán xới		Vit
bạn		Na, Vit
bạn bầu		Na
bạn bầy		Na
bạn bè		Na
bạn cọc chèo		Nc, Ng
bạn con dì		Nc, Ng
bạn điền		Nc, Ng
bạn đọc		Nc, Ng
bạn đời		Nc, Ng
bạn đường		Nc, Ng
bạn hàng		Nc, Ng
bạn hữu		Na
bạn lòng		Na
bạn nối khố		Nc, Ng
bạn trăm năm		Nc, Ng
bạn vàng		Nc, Ng
bạn vong niên		Nc, Ng
bancông		Nc, Ng
bang		Nc, Ng, Nu
bang biện		Nc, Ng
bang giao		Vit
bang tá		Nc, Ng
bàng		Nc, Ng
bàng bạc		Vit
bàng bạc		Aa
bàng hệ		Na
bàng hoàng		Aa
bàng quan		Vit
bàng quang		Nc, Ng
bàng thính		Vit
bàng tiếp		Vit, Aa
bảng		Nc, Nu, Na
bảng chữ cái		Nc, Ng
bảng cân đối		Nc, Ng
bảng cửu chương		Nc, Ng
bảng đen		Nc, Ng
bảng hiệu		Nc, Ng
bảng lảng		Aa
bảng màu		Nc
bảng nhãn		Nc, Ng
bảng số		Nc, Ng
bảng tổng sắp		Nc, Ng
bảng tuần hoàn		Nc, Ng
bảng vàng		Nc, Ng
báng		Nc, Ng, Vt
báng bổ		Vt, Aa
bạng nhạng		Nc, Ng
banh		Nc, Ng, Vt, Aa
bành		Nc, Ng
bành bạnh		Aa
bành tô		Nc, Ng
bành trướng		Vt
bảnh		Aa
bảnh bao		Aa
bảnh choẹ		Aa
bảnh mắt		Vit
bảnh trai		Aa
bánh		Nc
bánh bàng		Nc
bánh bao		Nc
bánh bèo		Nc
bánh bò		Nc
bánh bỏng		Nc
bánh canh		Nc
bánh cắt		Nc
bánh chả		Nc
bánh chay		Nc
bánh chè		Nc
bánh chưng		Nc
bánh cóc		Nc
bánh cốm		Nc
bánh cuốn		Nc
bánh dẻo		Nc
bánh đa		Nc
bánh đa nem		Nc
